basisOfRecord,catalogNumber,catalogue_id,changed,collectionCode,collector,coordinateUncertaintyText,coordinateuncertaintyinmeters,country,county,eventDate,identifiedBy,institutionCode,latitude,locality,longitude,occurrenceDetails,occurrenceRemarks,recordSource,scientificname,stateProvince,verbatimElevation
,,user_149,,,,,,,,,,,-32.67,,-64.92,,Note,Added by user,"",,
,,user_150,,,,,,,,,,,-16.5,,-68.15,,Note,Added by user,"",,
,,user_151,,,,,,,,,,,-8.82,,-77.95,,Note,Added by user,"",,
,,user_152,,,,,,,,,,,-11.45,,-75.75,,Note,Added by user,"",,
,,user_153,,,,,,,,,,,-17.32,,-66.14,,Note,Added by user,"",,
,,user_154,,,,,,,,,,,-8.83,,-77.73,,Note,Added by user,"",,
,,user_155,,,,,,,,,,,-13.63,,-71.74,,Note,Added by user,"",,
,,user_156,,,,,,,,,,,-7.25,,-78.38,,Note,Added by user,"",,
,,user_157,,,,,,,,,,,-16.65,,-68.07,,Note,Added by user,"",,
,,user_158,,,,,,,,,,,-13.33,,-71.91,,Note,Added by user,"",,
,,user_159,,,,,,,,,,,-5.67,,-79.35,,Note,Added by user,"",,
,,user_160,,,,,,,,,,,-2.15,,-78.87,,Note,Added by user,"",,
,,user_161,,,,,,,,,,,-0.07,,-78.35,,Note,Added by user,"",,
,,user_162,,,,,,,,,,,-3.42,,-79.15,,Note,Added by user,"",,
,,user_163,,,,,,,,,,,0.43,,-78,,Note,Added by user,"",,
,,user_164,,,,,,,,,,,-0.07,,-78.37,,Note,Added by user,"",,
,,user_165,,,,,15000,,,2012-3-2,,,-7.42762596057027,,-69.6951171875,,,Added by user,"",,
,,user_166,,,,,15000,,,2012-3-2,,,-10.638805075456,,-64.8611328125,,,Added by user,"",,
,,user_167,,,,,15000,,,2012-3-2,,,4.1494124865647,,-74.1775390625,,,Added by user,"",,
